Moi,NDF,Starch
63.38966635,45.58,17.74
76.17940609,43.78,24.24
62.75202303,38.85,35.68
76.17940609,43.78,24.24
58.73247563,39.61,27.11
74.02222606,53.74,16.56
69.23642137,51.9,2.41
55.24551724,37.48,36.8
63.54688,47.23,10.45
51.97855649,39.44,36.33
65.30669733,40.44,34.45
55.24551724,37.48,36.8
58.72718808,38.13,35.7
55.24551724,37.48,36.8
69.23642137,51.9,2.41
58.73247563,39.61,27.11
74.02222606,53.74,16.56
76.45315513,53.14,15.92
65.30669733,40.44,34.45
76.45315513,53.14,15.92
66.81972112,48.48,11.61
51.97855649,39.44,36.33
69.23642137,51.9,2.41
55.24551724,37.48,36.8
66.81972112,48.48,11.61
76.45315513,53.14,15.92
73.58051556,41.24,26.97
55.24551724,37.48,36.8
58.73247563,39.61,27.11
70.59428571,40.57,30.17
67.1776616,44.36,32.09
58.73247563,39.61,27.11
66.81972112,48.48,11.61
62.03149954,35.16,39.44
51.97855649,39.44,36.33
45.68168686,30.15,50.24
73.58051556,41.24,26.97
63.54688,47.23,10.45
70.74095694,42.89,23.86
58.87334353,33.97,40.55
74.02222606,53.74,16.56
79.3839982,48.49,12.21
66.81972112,48.48,11.61
66.81972112,48.48,11.61
65.30669733,40.44,34.45
74.02222606,53.74,16.56
55.24551724,37.48,36.8
69.23642137,51.9,2.41
65.30669733,40.44,34.45
60.61339787,33.24,40.94
58.72718808,38.13,35.7
58.73247563,39.61,27.11
65.30669733,40.44,34.45
45.68168686,30.15,50.24
45.68168686,30.15,50.24
45.68168686,30.15,50.24
60.45628366,32.3,41.49
60.61339787,33.24,40.94
60.45628366,32.3,41.49
70.74095694,42.89,23.86
71.43139214,59.83,3.77
